# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
500,1714865683.741537,1600000,2.2691233158111572,4663.62109375,-3.330420732498169,6057.50927734375
501,1714865684.362048,1603200,2.2469515800476074,4218.4404296875,-3.330420732498169,6057.50927734375
502,1714865684.434192,1606400,2.2469515800476074,4218.4404296875,-3.34555721282959,5644.66748046875
503,1714865684.9739242,1609600,2.2544376850128174,4456.53857421875,-3.34555721282959,5644.66748046875
504,1714865685.2112918,1612800,2.2544376850128174,4456.53857421875,-3.307098627090454,6029.5869140625
505,1714865685.6147041,1616000,2.274245500564575,4964.5244140625,-3.307098627090454,6029.5869140625
506,1714865685.9784,1619200,2.274245500564575,4964.5244140625,-3.29616641998291,6888.236328125
507,1714865686.262753,1622400,2.2691233158111572,5084.34326171875,-3.29616641998291,6888.236328125
508,1714865686.725902,1625600,2.2691233158111572,5084.34326171875,-3.3259143829345703,6346.51806640625
509,1714865687.003026,1628800,2.3029074668884277,4532.98388671875,-3.3259143829345703,6346.51806640625
510,1714865687.567522,1632000,2.3029074668884277,4532.98388671875,-3.315704345703125,5554.56640625
511,1714865687.5864289,1635200,2.2668442726135254,4417.8642578125,-3.315704345703125,5554.56640625
512,1714865688.295603,1638400,2.275134801864624,4598.455078125,-3.315704345703125,5554.56640625
513,1714865688.4026408,1641600,2.275134801864624,4598.455078125,-3.315706729888916,6376.31982421875
514,1714865688.934818,1644800,2.2398290634155273,4959.24365234375,-3.315706729888916,6376.31982421875
515,1714865689.183846,1648000,2.2398290634155273,4959.24365234375,-3.2852563858032227,6500.39501953125
516,1714865689.5696142,1651200,2.2631125450134277,4603.96240234375,-3.2852563858032227,6500.39501953125
517,1714865689.968052,1654400,2.2631125450134277,4603.96240234375,-3.2860405445098877,6175.0556640625
518,1714865690.281556,1657600,2.275118350982666,4694.640625,-3.2860405445098877,6175.0556640625
519,1714865690.721302,1660800,2.275118350982666,4694.640625,-3.286759614944458,5384.05126953125
520,1714865690.961729,1664000,2.2840492725372314,4254.69091796875,-3.286759614944458,5384.05126953125
521,1714865691.491677,1667200,2.2840492725372314,4254.69091796875,-3.2483859062194824,5941.8955078125
522,1714865691.584939,1670400,2.275165557861328,4563.34619140625,-3.2483859062194824,5941.8955078125
523,1714865692.271165,1673600,2.2953226566314697,5173.44384765625,-3.2483859062194824,5941.8955078125
524,1714865692.275079,1676800,2.2953226566314697,5173.44384765625,-3.274643659591675,7043.353515625
525,1714865692.9214568,1680000,2.2828967571258545,5297.37060546875,-3.274643659591675,7043.353515625
526,1714865693.0815291,1683200,2.2828967571258545,5297.37060546875,-3.2513463497161865,6778.87353515625
527,1714865693.596391,1686400,2.2722082138061523,4659.56884765625,-3.2513463497161865,6778.87353515625
528,1714865693.824137,1689600,2.2722082138061523,4659.56884765625,-3.2655577659606934,5896.830078125
529,1714865694.280885,1692800,2.290083408355713,5315.728515625,-3.2655577659606934,5896.830078125
530,1714865694.604105,1696000,2.290083408355713,5315.728515625,-3.271543264389038,6395.7314453125
531,1714865694.973799,1699200,2.2960500717163086,4435.763671875,-3.271543264389038,6395.7314453125
532,1714865695.408597,1702400,2.2960500717163086,4435.763671875,-3.26446533203125,6440.03515625
533,1714865695.606316,1705600,2.262388229370117,5215.07861328125,-3.26446533203125,6440.03515625
534,1714865696.154863,1708800,2.262388229370117,5215.07861328125,-3.2029314041137695,6493.369140625
